30x50
1,1
23,2; 11,35; 28,48
0,2
0,5
0,11
0,12
0,16
0,21
0,24
0,25
0,29
0,31
0,44
0,47
1,16
1,18
1,25
1,27
1,28
1,29
1,32
1,38
1,42
1,44
1,45
1,46
1,47
2,6
2,10
2,15
2,16
2,20
2,22
2,31
2,32
2,33
2,36
2,37
2,39
2,46
2,48
2,49
3,6
3,7
3,16
3,25
3,26
3,29
3,44
3,47
3,48
4,0
4,8
4,11
4,15
4,17
4,19
4,21
4,25
4,27
4,30
4,33
4,34
4,45
5,1
5,19
5,26
5,31
5,32
5,33
5,41
6,9
6,18
6,32
6,36
6,45
7,3
7,19
7,21
7,22
7,35
7,38
7,41
7,45
8,0
8,4
8,7
8,20
8,24
8,28
8,29
8,31
8,37
9,1
9,6
9,7
9,8
9,9
9,20
9,22
9,25
9,26
9,27
9,28
9,30
9,31
9,37
9,39
9,40
10,1
10,9
10,20
10,21
10,26
10,41
10,44
10,48
11,8
11,36
11,38
11,41
11,44
11,47
11,49
12,5
12,6
12,13
12,21
12,25
12,36
12,37
12,41
12,47
13,8
13,9
13,19
13,22
13,29
13,31
13,42
13,43
13,46
14,10
14,15
14,16
14,17
14,24
14,29
14,31
14,34
14,40
14,47
14,49
15,0
15,21
15,23
15,28
15,35
15,38
15,46
15,47
15,48
15,49
16,5
16,6
16,11
16,22
16,24
16,30
16,34
16,39
16,47
17,6
17,11
17,12
17,17
17,28
17,30
17,33
17,46
17,47
17,49
18,4
18,6
18,9
18,14
18,22
18,23
18,30
18,32
18,34
18,38
18,40
18,43
18,44
18,46
18,47
18,48
19,16
19,22
19,24
19,28
19,31
19,34
19,39
19,44
20,5
20,6
20,7
20,9
20,11
20,13
20,15
20,24
20,28
20,30
20,32
20,37
20,44
20,48
21,4
21,16
21,20
21,23
21,28
21,34
21,42
21,45
21,48
22,5
22,6
22,7
22,12
22,15
22,17
22,20
22,26
22,32
22,34
22,37
22,47
23,6
23,16
23,28
23,32
23,38
23,43
23,44
23,45
24,1
24,3
24,8
24,13
24,17
24,35
24,36
24,43
25,1
25,5
25,11
25,15
25,16
25,29
25,30
25,36
25,38
25,40
25,41
25,46
25,47
25,48
26,0
26,9
26,15
26,18
26,22
26,24
26,25
27,10
27,12
27,13
27,21
27,22
27,24
27,25
27,38
27,42
27,49
28,3
28,5
28,17
28,19
28,24
29,11
29,15
29,19
29,24
29,31
29,34
29,39
29,44
29,45
